id,type,timestamp,verdict,key_evidence,command,exit_code,output_kind,file,run
analysis-13-web-deploy-drops-the-edge-route,analysis,2026-09-24T11:52:51-04:00,supports,"auxiliaryFiles appears exactly once under apps/web/src — plans.ts:112, which maps it to paths for DISPLAY in the plan preview. No web deploy path writes it. deployments.up (4 UI call sites) compiles, writes only docker-compose.rendered.yml, and spawns docker compose up -d; the queue's deploy.ts work",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/web_cli_parity.sh,0,text,analysis-13-web-deploy-drops-the-edge-route.yaml,
analysis-14-dockhand-leads-and-their-mechanisms,analysis,2026-09-24T11:53:47-04:00,supports,"Multi-host: Dockhand parameterises every call by envId (2822 references, 255 files) over a docker HTTP API (dockerFetch at docker.ts:789) with four connection types; AppBay's spawn layer (containerExec/containerSpawn/containerCompose) takes no host and route delivery is a local write, join(appbayHom",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/dockhand_leads.sh,0,text,analysis-14-dockhand-leads-and-their-mechanisms.yaml,
analysis-20-published-findings-re-derived-from-the-graph,analysis,2026-09-24T12:11:23-04:00,supports,"Ten Cypher queries re-derive published numbers: 16 current findings (matches the claims index), F3's three code sites (compile.ts:1019, scoped-env.ts:34, secrets.ts:56), the two environment disagreements and the two deploy-path disagreements as edges, six deploy paths across three products, 10 gaps",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/query_work_graph.sh,0,text,analysis-20-published-findings-re-derived-from-the-graph.yaml,
analysis-22-study-facts-generated-from-the-workbook,analysis,2026-09-24T12:18:02-04:00,supports,"21 inquiry rows and 17 findings parsed from the workbook; 5 study pages rewritten between their markers. study-map.py could not be used: it matches rows as '| NPnn | status | settles |' (status before settles, not the documented order) and hardcodes a U0..U9 thread vocabulary, reporting '21 rows, 0",python3 src/appbay-dockhand/study_facts.py,0,text,analysis-22-study-facts-generated-from-the-workbook.yaml,
probe-04-untouched-compose-compiles-under-both-edges,probe,2026-09-24T11:39:49-04:00,supports,"A stock compose file (host port 8080:80, no networks, no labels) compiled unchanged into a deployment: port stripped, appbay_shared attached with alias demo_web, identity labels and container_name stamped, TEAM=platform injected, API_TOKEN wired, ADMIN_PASSWORD generated, and a provider route file e",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/compile_untouched_compose.sh,0,text,probe-04-untouched-compose-compiles-under-both-edges.yaml,compile-untouched-20260924
probe-05-map-form-environment-is-handled-three-ways,probe,2026-09-24T11:41:11-04:00,supports,"Two services identical but for environment spelling. listform (list) keeps KEEP_ME, generates GEN_PASSWORD, gains TEAM and API_TOKEN. mapform (map) renders environment: [TEAM, API_TOKEN] only — KEEP_ME=important and GEN_PASSWORD are gone, the generated-values store holds one entry (listform only), a",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/map_form_environment.sh,0,text,probe-05-map-form-environment-is-handled-three-ways.yaml,map-form-env-20260924
probe-06-dockhand-has-no-compose-overlay,probe,2026-09-24T11:42:45-04:00,supports,"Compose content is reassigned at exactly two points between deployStack and the spawn (stacks.ts:1258 rewriteComposeVolumePaths, :1279 rewriteBindsToHostDir), both line-regex bind-path fixups for running inside a container. Every traefik.http.routers occurrence is a labels[] READ in utils/traefik-ur",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/dockhand_overlay_surface.sh,0,text,probe-06-dockhand-has-no-compose-overlay.yaml,
probe-07-cli-exposure-measured-from-the-binary,probe,2026-09-24T11:44:39-04:00,inconclusive,"Procedure defect found on reread: grep -c 'json$' also matched 'no-json' (51+47=98 over 51 commands), and the declared-command list swept in subcommand names from every commands/*.ts file, so 'declared but not in help' listed secrets/edge/catalog subcommands. Superseded by probe-08, which counts top",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/cli_exposure.sh,0,text,probe-07-cli-exposure-measured-from-the-binary.yaml,cli-exposure-20260924
probe-08-cli-exposure-top-level-commands,probe,2026-09-24T11:46:01-04:00,supports,"47 real top-level commands after subtracting 4 retirement notices (admin, auth, authelia, help) from the 51 names in --help. 46 have a heading in docs/reference/cli-commands.qmd; only exec and run do not. Only 4 of 47 accept --json: doctor, list, ps, status. The repo's own check-docs-cli.mjs exits 0",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/cli_exposure.sh,0,text,probe-08-cli-exposure-top-level-commands.yaml,cli-exposure-20260924b
probe-09-docs-cli-check-detects-injected-drift,probe,2026-09-24T11:48:53-04:00,supports,"Three-way mutation test on the sandbox copy: baseline exit 0; a documented-but-absent command (appbay teleport) -> 2 discrepancies, exit 1; a documented-but-absent flag (appbay status --telepathy) -> 1 discrepancy, exit 1; restored -> exit 0. The checker is sensitive to both failure classes it claim",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/docs_check_detects_drift.sh,0,text,probe-09-docs-cli-check-detects-injected-drift.yaml,docs-check-mutation-20260924
probe-10-appbay-test-suite-at-the-pinned-commit,probe,2026-09-24T11:49:32-04:00,supports,"pnpm turbo test at the pinned tree: 5/5 tasks successful, @appbay/core 85 files / 1148 passed + 1 skipped, @appbay/cli 29 files / 403 passed. Zero failures — while probe-05 shows live silent data loss, so the suite is green and the defect is real.",bash investigations/2026-09-24-appbay-dockhand-systematic-compose/src/appbay-dockhand/run_appbay_tests.sh,0,text,probe-10-appbay-test-suite-at-the-pinned-commit.yaml,
probe-16-human-judgement-survives-a-store-rebuild,probe,2026-09-24T12:06:16-04:00,supports,G6.decision was hand-edited to 'leave' and G1.blast_radius clobbered; after rebuild G6.decision is still 'leave' (human state read back and merged) and G1.blast_radius is restored from its record. audit_decision grew 10 -> 12 with no row updated or deleted. The seeded decision was then restored thro,bash src/appbay-dockhand/store_roundtrip.sh,0,text,probe-16-human-judgement-survives-a-store-rebuild.yaml,
